refno,aquifer,wb_ft,rock_top_ft
220156,Bedrock,35,10
229553,Bedrock,40,46
229690,Bedrock,23,86
4418,Bedrock,28,130
4697,Bedrock,33,38
4442,Bedrock,10,15
228302,Bedrock,23,12
4687,Bedrock,55,12
4411,Bedrock,25,250
4708,Bedrock,40,250
229766,Bedrock,67,0
4709,Bedrock,22,10
323787,Bedrock,2,2
4685,Bedrock,57,46
229677,Bedrock,48,54
4491,Bedrock,35,115
4288,Bedrock,20,38
4747,Bedrock,40,8
228368,Bedrock,60,14
4767,Bedrock,47,21
4505,Bedrock,45,50
228587,Bedrock,42,20
4608,Bedrock,15,120
20908,Bedrock,74,18
4632,Bedrock,23,10
229722,Bedrock,58,18
20906,Bedrock,45,205
4635,Bedrock,41,117
228272,Bedrock,80,0
4349,Bedrock,37,22
220283,Bedrock,13,72
4361,Bedrock,44,24
4617,Bedrock,55,20
4625,Bedrock,35,310
4629,Bedrock,25,0
4330,Bedrock,42,38
220051,Bedrock,13,72
434151,Bedrock,40,10
4546,Bedrock,38,22
4390,Bedrock,4,18
4537,Bedrock,90,38
4595,Bedrock,28,280
220288,Bedrock,25,87
4389,Bedrock,80,80
4593,Bedrock,40,10
220071,Bedrock,45,67
4599,Bedrock,28,0
4362,Bedrock,60,30
4596,Bedrock,37,15
4524,Bedrock,15,10
4604,Bedrock,42,12
4403,Bedrock,21,18
220453,Bedrock,12,
229468,Bedrock,4,18
4597,Bedrock,29,10
229513,Bedrock,4,14
228320,Bedrock,59,59
4552,Bedrock,41,70
228287,Bedrock,32,20
4112,Bedrock,35,100
217467,Bedrock,10,16
4125,Bedrock,20,8
220011,Bedrock,20,
4124,Bedrock,34,10
4122,Bedrock,30,10
4085,Bedrock,48,30
20915,Bedrock,16,18
170628,Bedrock,36,8
4123,Bedrock,40,16
217397,Bedrock,35,0
4101,Bedrock,25,280
217978,Bedrock,30,22
34180,Bedrock,37,8
381197,Bedrock,35,10
220377,Bedrock,114,114
217762,Bedrock,45,13
4179,Bedrock,76,8
220457,Bedrock,85,85
220776,Bedrock,8,65
4173,Bedrock,33,13
217432,Bedrock,47,0
217437,Bedrock,34,5
218052,Bedrock,50,14
4129,Bedrock,18,42
4216,Bedrock,20,103
4222,Bedrock,28,8
4227,Bedrock,53,18
4232,Bedrock,5,98
4219,Bedrock,28,215
4193,Bedrock,213,17
264802,Bedrock,56,
264812,Bedrock,55,93
217835,Bedrock,46,22
217740,Bedrock,75,12
20925,Bedrock,30,40
220476,Bedrock,65,75
323784,Bedrock,52,
4021,Bedrock,48,55
217996,Bedrock,54,17
4012,Bedrock,21,8
40702,Bedrock,21,10
40711,Bedrock,32,137
40695,Bedrock,33,128
40787,Bedrock,3,0
40684,Bedrock,35,18
227721,Bedrock,18,15
34702,Bedrock,39,15
40637,Bedrock,47,10
40679,Bedrock,28,0
40631,Bedrock,20,10
40774,Bedrock,15,13
217350,Bedrock,35,45
40628,Bedrock,18,110
234249,Bedrock,92,
40945,Bedrock,15,0
40748,Bedrock,12,0
52705,Bedrock,28,15
40773,Bedrock,45,10
40754,Bedrock,34,17
40943,Bedrock,25,20
219223,Bedrock,24,
323638,Bedrock,28,52
40747,Bedrock,4,38
40736,Bedrock,36,8
40613,Bedrock,32,15
234198,Bedrock,58,
234203,Bedrock,58,
40734,Bedrock,37,8
40614,Bedrock,33,10
40762,Bedrock,20,15
40593,Bedrock,8,20
40592,Bedrock,24,0
40760,Bedrock,30,9
40728,Bedrock,34,15
40594,Bedrock,12,20
40595,Bedrock,22,18
40730,Bedrock,23,15
40726,Bedrock,5,70
40599,Bedrock,18,12
219061,Bedrock,47,
217713,Bedrock,8,8
40605,Bedrock,18,25
31107,Bedrock,30,20
20706,Bedrock,10,65
31118,Bedrock,42,17
34628,Bedrock,22,0
34665,Bedrock,17,0
34626,Bedrock,31,43
34630,Bedrock,26,51
34642,Bedrock,77,20
34641,Bedrock,44,25
34625,Bedrock,13,70
34622,Bedrock,20,15
218509,Bedrock,55,11
160727,Bedrock,39,20
34636,Bedrock,38,23
31104,Bedrock,30,50
34621,Bedrock,24,0
160772,Bedrock,15,25
31207,Bedrock,20,10
31114,Bedrock,29,35
34679,Bedrock,32,30
34676,Bedrock,21,119
223983,Bedrock,4,60
160777,Bedrock,22,15
34635,Bedrock,6,21
34674,Bedrock,24,46
34586,Bedrock,5,15
34748,Bedrock,18,0
34613,Bedrock,9,26
34672,Bedrock,45,0
160738,Bedrock,32,15
224006,Bedrock,1,
34671,Bedrock,30,7
31209,Bedrock,51,72
34714,Bedrock,34,20
224022,Bedrock,1,
34744,Bedrock,10,12
31189,Bedrock,35,8
31192,Bedrock,23,0
31180,Bedrock,26,15
34711,Bedrock,27,15
31186,Bedrock,25,30
34712,Bedrock,20,10
30732,Bedrock,10,22
34643,Bedrock,27,8
31145,Bedrock,45,24
31129,Bedrock,57,17
30731,Bedrock,35,12
30717,Bedrock,4,20
31199,Bedrock,30,20
34644,Bedrock,56,8
31196,Bedrock,28,15
34607,Bedrock,7,37
31195,Bedrock,40,0
34603,Bedrock,38,6
34651,Bedrock,17,12
31198,Bedrock,17,15
213279,Bedrock,15,15
30737,Bedrock,149,82
31162,Bedrock,18,140
34731,Bedrock,30,10
34654,Bedrock,25,17
223972,Bedrock,1,
693,Bedrock,34,5
31212,Bedrock,34,5
270744,Bedrock,8,56
31163,Bedrock,17,8
30635,Bedrock,6,20
30652,Bedrock,5,0
218705,Bedrock,45,60
28569,Bedrock,7,7
5871,Bedrock,16,4
28575,Bedrock,100,17
234099,Bedrock,110,145
30647,Bedrock,55,43
218146,Bedrock,1,
30642,Bedrock,1,12
323779,Bedrock,41,
292206,Bedrock,2,
218785,Bedrock,3,
218171,Bedrock,40,
121645,Bedrock,10,55
213753,Bedrock,35,35
28813,Bedrock,12,12
28811,Bedrock,25,12
28692,Bedrock,20,0
28699,Bedrock,29,39
223183,Bedrock,18,
28609,Bedrock,23,6
28637,Bedrock,45,12
28806,Bedrock,29,15
28736,Bedrock,35,22
218026,Bedrock,41,
218021,Bedrock,45,
218168,Bedrock,4,14
218273,Bedrock,18,20
218257,Bedrock,6,50
28651,Bedrock,30,30
28757,Bedrock,50,10
28617,Bedrock,13,52
369397,Bedrock,1,
52694,Bedrock,32,10
28770,Bedrock,10,18
227738,Bedrock,10,12
218334,Bedrock,22,32
369383,Bedrock,2,76
270195,Bedrock,10,
227739,Bedrock,10,20
222973,Bedrock,38,8
222938,Bedrock,44,0
218619,Bedrock,44,65
221832,Bedrock,8,
222933,Bedrock,29,0
221812,Bedrock,15,
305330,Bedrock,94,34
305331,Bedrock,76,60
72139,Bedrock,16,
5704,Bedrock,18,28
19787,Bedrock,52,10
213075,Bedrock,12,12
217619,Bedrock,8,56
223076,Bedrock,30,0
332877,Bedrock,5,
20679,Bedrock,37,14
222216,Bedrock,30,15
222266,Bedrock,7,115
272042,Bedrock,5,8
222705,Bedrock,4,30
7443,Bedrock,13,36
294288,Bedrock,14,8
224249,Bedrock,67,
222546,Bedrock,18,
222042,Bedrock,10,
221707,Bedrock,13,29
222293,Bedrock,17,
223052,Bedrock,17,25
303957,Bedrock,2,48
234106,Bedrock,3,144
222404,Bedrock,7,7
222053,Bedrock,25,14
222464,Bedrock,6,
369358,Bedrock,2,
216198,Bedrock,1,2
222272,Bedrock,4,4
222417,Bedrock,8,
341228,Bedrock,26,
223565,Bedrock,10,39
211845,Bedrock,14,
211147,Bedrock,105,8
212975,Bedrock,48,
393832,Bedrock,9,38
34201,Bedrock,48,70
211854,Bedrock,8,
212585,Bedrock,1,
19823,Bedrock,8,58
213236,Bedrock,3,29
248943,Bedrock,3,44
216091,Bedrock,8,22
215240,Bedrock,5,52
213202,Bedrock,2,25
213646,Bedrock,58,58
210721,Bedrock,7,
212650,Bedrock,20,
213716,Bedrock,1,
212645,Bedrock,35,
215266,Bedrock,9,
215562,Bedrock,20,22
215261,Bedrock,9,
210671,Bedrock,10,
213212,Bedrock,1,18
211454,Bedrock,1,16
211515,Bedrock,90,
211169,Bedrock,37,
213076,Bedrock,45,70
234137,Bedrock,36,
371402,Bedrock,35,23
213590,Bedrock,5,20
211106,Bedrock,33,
211811,Bedrock,1,
212459,Bedrock,20,40
275466,Bedrock,16,
305409,Bedrock,35,
374658,Bedrock,33,
212501,Bedrock,116,75
212506,Bedrock,135,139
210333,Bedrock,6,
210498,Bedrock,30,
113370,Bedrock,1,
215664,Bedrock,25,37
212362,Bedrock,2,
215456,Bedrock,2,24
210409,Bedrock,40,
215233,Bedrock,29,39
210408,Bedrock,12,57
211900,Bedrock,5,
213547,Bedrock,4,18
211686,Bedrock,55,
211691,Bedrock,55,
374657,Bedrock,6,
210457,Bedrock,28,
210437,Bedrock,26,
213622,Bedrock,2,10
215442,Bedrock,1,10
362113,Bedrock,11,25
215477,Bedrock,1,25
215487,Bedrock,1,25
211662,Bedrock,1,
360404,Bedrock,2,54
215319,Bedrock,21,21
209760,Bedrock,23,
212603,Bedrock,1,42
211186,Bedrock,2,
211319,Bedrock,1,
15472,Bedrock,49,18
210992,Bedrock,3,80
212215,Bedrock,4,
357553,Bedrock,1,
211648,Bedrock,24,60
212188,Bedrock,48,10
210962,Bedrock,4,78
209355,Bedrock,3,
336428,Bedrock,26,50
212211,Bedrock,1,14
20818,Bedrock,11,29
203507,Bedrock,30,80
145245,Bedrock,5,30
205376,Bedrock,1,80
205366,Bedrock,6,70
205406,Bedrock,4,70
212240,Bedrock,11,
208951,Bedrock,18,18
205704,Bedrock,7,17
209132,Bedrock,1,6
210815,Bedrock,1,14
209096,Bedrock,4,
27760,Bedrock,49,
428639,Bedrock,21,103
205216,Bedrock,5,
205181,Bedrock,5,
346231,Bedrock,3,45
346232,Bedrock,3,45
203266,Bedrock,7,
239374,Bedrock,57,
210062,Bedrock,250,0
208825,Bedrock,3,
15404,Bedrock,7,108
269725,Bedrock,57,74
209054,Bedrock,10,
377601,Bedrock,6,15
212110,Bedrock,2,
211981,Bedrock,6,
203184,Bedrock,1,52
375865,Bedrock,4,13
203924,Bedrock,57,
21103,Bedrock,1,
203347,Bedrock,22,22
287126,Bedrock,16,
15401,Bedrock,9,160
212252,Bedrock,5,
205772,Bedrock,22,25
208164,Bedrock,25,45
210910,Bedrock,5,
427576,Bedrock,6,67
349005,Bedrock,5,
15407,Bedrock,6,22
203889,Bedrock,39,
208140,Bedrock,2,38
203344,Bedrock,1,
211631,Bedrock,5,45
205753,Bedrock,27,89
203429,Bedrock,16,
199864,Bedrock,21,
200337,Bedrock,2,11
200613,Bedrock,21,115
200598,Bedrock,35,114
208332,Bedrock,29,
197232,Bedrock,5,
197087,Bedrock,1,41
354206,Bedrock,3,35
200539,Bedrock,13,28
197186,Bedrock,11,160
197416,Bedrock,1,
200524,Bedrock,14,36
200509,Bedrock,35,35
200652,Bedrock,25,85
353032,Bedrock,2,43
200919,Bedrock,7,40
209891,Bedrock,38,38
208245,Bedrock,1,
377597,Bedrock,6,37
197993,Bedrock,8,
199992,Bedrock,3,28
350688,Bedrock,73,
196541,Bedrock,8,26
199981,Bedrock,20,24
200586,Bedrock,6,
200268,Bedrock,46,58
199705,Bedrock,5,10
197958,Bedrock,5,
200606,Bedrock,4,25
207836,Bedrock,1,1
305197,Bedrock,67,145
305198,Bedrock,59,170
197665,Bedrock,12,
196509,Bedrock,15,180
197352,Bedrock,10,53
349280,Bedrock,12,
200229,Bedrock,10,24
200561,Bedrock,14,74
352012,Bedrock,17,10
199645,Bedrock,2,62
257961,Bedrock,4,36
196867,Bedrock,1,14
369776,Bedrock,47,20
145252,Bedrock,9,236
200030,Bedrock,1,20
206785,Bedrock,22,26
336152,Bedrock,36,63
200015,Bedrock,5,25
197436,Bedrock,34,
200760,Bedrock,1,
197393,Bedrock,15,
198754,Bedrock,25,
321574,Bedrock,12,12
198749,Bedrock,40,
198415,Bedrock,26,
206299,Bedrock,96,320
193971,Bedrock,28,
321527,Bedrock,21,105
202915,Bedrock,8,
359419,Bedrock,14,
336153,Bedrock,10,
192537,Bedrock,23,50
329647,Bedrock,8,
226709,Bedrock,64,64
192544,Bedrock,28,32
198871,Bedrock,1,
332206,Bedrock,25,30
192566,Bedrock,21,21
208497,Bedrock,16,834
197910,Bedrock,3,47
195507,Bedrock,19,
195514,Bedrock,35,
195502,Bedrock,10,
269022,Bedrock,23,
233102,Bedrock,13,
198218,Bedrock,64,30
204116,Bedrock,11,
193559,Bedrock,1,
192095,Bedrock,43,63
204076,Bedrock,14,
