refno,aquifer,v1_wb_ft,v2_uncon_ft,v2_rock_top_ft
120516,Bedrock,7,,83
127186,Bedrock,3,,138
95909,Bedrock,7,,77
120280,Bedrock,3,,94
120306,Bedrock,7,,66
127161,Bedrock,5,,103
127137,Bedrock,7,,167
128418,Bedrock,4,,93
123964,Bedrock,4,,35
128401,Bedrock,4,,146
298188,Bedrock,2,,35
95884,Bedrock,3,,74
120173,Bedrock,4,,73
128407,Bedrock,5,,80
262639,Bedrock,7,,26
127125,Bedrock,2,,149
254252,Bedrock,4,,42
123960,Bedrock,3,,110
117035,Bedrock,4,,79
117318,Bedrock,3,,58
117313,Bedrock,5,,59
118291,Bedrock,5,,40
117308,Bedrock,3,,52
121726,Bedrock,5,,50
30252,Bedrock,5,,22
118302,Bedrock,28,,28
118905,Bedrock,4,,55
118879,Bedrock,3,,60
118944,Bedrock,6,,55
118884,Bedrock,3,,60
118949,Bedrock,4,,50
117984,Bedrock,5,,68
118215,Bedrock,7,,42
262718,Bedrock,7,,44
331538,Bedrock,5,,33
118230,Bedrock,5,,64
120987,Bedrock,7,,136
118713,Bedrock,4,,87
118658,Bedrock,7,,67
120957,Bedrock,6,,85
117913,Bedrock,6,,77
118644,Bedrock,4,,67
117948,Bedrock,2,,65
118877,Bedrock,3,,63
118897,Bedrock,5,,54
118478,Bedrock,4,,4
118451,Bedrock,6,,6
121895,Bedrock,3,,11
117337,Bedrock,3,,6
270376,Bedrock,3,,5
42652,Bedrock,11,,69
116970,Bedrock,2,,57
116975,Bedrock,7,,33
95434,Bedrock,5,,21
118197,Bedrock,4,,44
115190,Bedrock,7,,34
118153,Bedrock,1,,23
117743,Bedrock,4,,18
117649,Bedrock,7,,15
117292,Bedrock,3,,38
115149,Bedrock,2,,56
118166,Bedrock,3,,59
117282,Bedrock,6,,56
118151,Bedrock,2,,43
116924,Bedrock,7,,35
116964,Bedrock,3,,32
116949,Bedrock,3,,36
115212,Bedrock,4,,50
115172,Bedrock,7,,35
117008,Bedrock,5,,41
238867,Bedrock,3,,67
120061,Bedrock,3,,27
236565,Bedrock,5,,56
239949,Bedrock,5,,29
116717,Bedrock,6,,69
116147,Bedrock,5,,68
236584,Bedrock,3,,53
109549,Bedrock,7,,32
116594,Bedrock,4,,24
117215,Bedrock,1,,63
116162,Bedrock,4,,72
332917,Bedrock,4,,102
116727,Bedrock,7,,50
116629,Bedrock,3,,12
329043,Bedrock,3,,33
235431,Bedrock,5,,70
115119,Bedrock,3,,28
116196,Bedrock,3,,70
122114,Bedrock,2,,124
116701,Bedrock,3,,58
116564,Bedrock,5,,35
109663,Bedrock,4,,78
117882,Bedrock,3,,67
116688,Bedrock,3,,78
116797,Bedrock,5,,77
116670,Bedrock,5,,64
115036,Bedrock,3,,71
115046,Bedrock,3,,72
305596,Bedrock,5,,55
114854,Bedrock,5,,75
116981,Bedrock,7,,36
122049,Bedrock,4,,53
116567,Bedrock,3,,60
114803,Bedrock,5,,83
114818,Bedrock,2,,72
264733,Bedrock,1,,43
116976,Bedrock,3,,39
33469,Bedrock,6,,25
114843,Bedrock,2,,31
114848,Bedrock,3,,74
33485,Bedrock,3,,25
33520,Bedrock,5,,48
109488,Bedrock,5,,85
116677,Bedrock,2,,67
116320,Bedrock,3,,78
116662,Bedrock,2,,62
33459,Bedrock,3,,37
116566,Bedrock,3,,37
33454,Bedrock,2,,34
237183,Bedrock,2,,38
117117,Bedrock,6,,9
109595,Bedrock,5,,80
116023,Bedrock,7,,7
116535,Bedrock,6,,6
357065,Bedrock,7,,70
116027,Bedrock,6,,43
116661,Bedrock,6,,5
116651,Bedrock,2,,5
116490,Bedrock,5,,10
105047,Bedrock,3,,19
105133,Bedrock,3,,3
33600,Bedrock,6,,34
102338,Bedrock,5,,3
33588,Bedrock,4,,16
105475,Bedrock,6,,32
102328,Bedrock,4,,84
105147,Bedrock,6,,15
321837,Bedrock,4,,31
373915,Bedrock,3,,50
96249,Bedrock,10,,10
104116,Bedrock,3,,3
101477,Bedrock,6,,110
103723,Bedrock,4,,11
96521,Bedrock,5,,114
349370,Bedrock,4,,49
114420,Bedrock,5,,53
102252,Bedrock,180,,12
33556,Bedrock,4,,19
105507,Bedrock,4,,8
258227,Bedrock,7,,55
104370,Bedrock,5,,5
104400,Bedrock,5,,8
102682,Bedrock,1,,15
101709,Bedrock,2,,83
115910,Bedrock,3,,29
105167,Bedrock,5,,131
105177,Bedrock,2,,143
115871,Bedrock,1,,10
104627,Bedrock,5,,156
105345,Bedrock,3,,78
284398,Bedrock,2,,52
102898,Bedrock,5,,128
95631,Bedrock,6,,84
101617,Bedrock,3,,101
116267,Bedrock,3,,26
112424,Bedrock,2,,2
115860,Bedrock,7,,63
112459,Bedrock,1,,34
101871,Bedrock,2,,14
105617,Bedrock,5,,69
101284,Bedrock,2,,81
101264,Bedrock,3,,74
341558,Bedrock,6,,92
102927,Bedrock,3,,42
115782,Bedrock,3,,109
103299,Bedrock,6,,37
37952,Bedrock,2,,70
109887,Bedrock,2,,82
103700,Bedrock,5,,53
103241,Bedrock,3,,200
102789,Bedrock,11,,11
102799,Bedrock,6,,6
103627,Bedrock,5,,70
103482,Bedrock,4,,24
103497,Bedrock,3,,61
37996,Bedrock,2,,79
96626,Bedrock,4,,105
259288,Bedrock,4,,79
103416,Bedrock,4,,4
110079,Bedrock,21,,54
102611,Bedrock,4,,126
103361,Bedrock,9,,9
103599,Bedrock,5,,105
337842,Bedrock,6,,192
347573,Bedrock,6,,79
75279,Bedrock,5,,84
103584,Bedrock,6,,86
369709,Bedrock,2,,108
109468,Bedrock,2,,92
103505,Bedrock,6,,106
372428,Bedrock,1,,89
102155,Bedrock,2,,140
28239,Bedrock,3,,38
239733,Bedrock,1,,93
103585,Bedrock,4,,20
103595,Bedrock,5,,78
103281,Bedrock,7,,92
239734,Bedrock,3,,97
326448,Bedrock,5,,13
99343,Bedrock,4,,76
99387,Bedrock,5,,90
100465,Bedrock,3,,22
357793,Bedrock,6,,73
369863,Bedrock,3,,85
110729,Bedrock,80,,90
100405,Bedrock,23,,23
369864,Bedrock,2,,80
87903,Bedrock,7,,67
65011,Bedrock,5,,110
235860,Bedrock,4,,154
236010,Bedrock,4,,150
99722,Bedrock,6,,14
369860,Bedrock,3,,96
259316,Bedrock,2,,106
99506,Bedrock,2,,106
176171,Bedrock,3,,10
110139,Bedrock,6,,80
98430,Bedrock,1,,293
109774,Bedrock,1,,73
87893,Bedrock,7,,54
99900,Bedrock,8,,34
225819,Bedrock,6,,104
75498,Bedrock,3,,72
259311,Bedrock,7,,70
99807,Bedrock,7,,15
109705,Bedrock,2,,81
97417,Bedrock,3,,88
94345,Bedrock,5,,110
111233,Bedrock,7,,85
111163,Bedrock,4,,38
357765,Bedrock,4,,78
238632,Bedrock,2,,120
111197,Bedrock,69,,69
323893,Bedrock,5,,79
356558,Bedrock,6,,185
97744,Bedrock,1,,63
110248,Bedrock,78,,108
332859,Bedrock,6,,55
114248,Bedrock,7,,49
252219,Bedrock,2,,70
252194,Bedrock,2,,70
114232,Bedrock,5,,51
86403,Bedrock,50,,50
311060,Bedrock,4,,39
365236,Bedrock,4,,57
341747,Bedrock,7,,57
323860,Bedrock,2,,72
106500,Bedrock,3,,160
312970,Bedrock,160,,160
312968,Bedrock,118,,118
312969,Bedrock,145,,145
58227,Bedrock,16,,111
9788,Bedrock,35,,112
32719,Bedrock,400,,300
