refno,aquifer,v1_wb_ft,v2_uncon_ft,v2_rock_top_ft
229468,Bedrock,4,,18
4597,Bedrock,29,,10
229513,Bedrock,4,,14
228320,Bedrock,59,,59
4552,Bedrock,41,,18
228287,Bedrock,32,,20
4112,Bedrock,35,,100
217467,Bedrock,10,,15
4125,Bedrock,20,,8
220011,Bedrock,20,,10
4124,Bedrock,34,,10
4122,Bedrock,30,,10
4085,Bedrock,48,,30
20915,Bedrock,16,,18
170628,Bedrock,36,,8
4123,Bedrock,40,,16
4101,Bedrock,25,,280
217978,Bedrock,30,,20
34180,Bedrock,37,,8
381197,Bedrock,35,,10
217762,Bedrock,45,,13
4179,Bedrock,76,,8
220776,Bedrock,8,,30
4173,Bedrock,33,,13
217437,Bedrock,34,,5
218052,Bedrock,50,,14
4129,Bedrock,18,,42
4216,Bedrock,20,,103
4222,Bedrock,28,,8
4227,Bedrock,53,,18
4232,Bedrock,5,,98
4219,Bedrock,28,,215
4193,Bedrock,213,,17
217835,Bedrock,46,,22
217740,Bedrock,75,,12
20925,Bedrock,30,,40
323784,Bedrock,52,,30
4021,Bedrock,48,,55
217996,Bedrock,54,,17
4012,Bedrock,21,,8
40702,Bedrock,21,,10
40711,Bedrock,32,,137
40695,Bedrock,33,,128
40684,Bedrock,35,,18
227721,Bedrock,18,,15
34702,Bedrock,39,,15
40637,Bedrock,47,,10
40631,Bedrock,20,,10
40774,Bedrock,15,,13
217350,Bedrock,35,,45
40628,Bedrock,18,,110
52705,Bedrock,28,,15
40773,Bedrock,45,,10
40754,Bedrock,34,,17
40943,Bedrock,25,,20
323638,Bedrock,28,,22
40747,Bedrock,4,,38
40736,Bedrock,36,,8
40613,Bedrock,32,,15
40734,Bedrock,37,,8
40614,Bedrock,33,,10
40762,Bedrock,20,,15
40593,Bedrock,8,,20
40760,Bedrock,30,,9
40728,Bedrock,34,,15
40594,Bedrock,12,,20
40595,Bedrock,22,,18
40730,Bedrock,23,,15
40726,Bedrock,5,,70
40599,Bedrock,18,,12
40605,Bedrock,18,,25
31107,Bedrock,30,,20
20706,Bedrock,10,,65
31118,Bedrock,42,,17
34626,Bedrock,31,,43
34630,Bedrock,26,,51
34642,Bedrock,77,,20
34641,Bedrock,44,,25
34625,Bedrock,13,,70
34622,Bedrock,20,,15
218509,Bedrock,55,,11
160727,Bedrock,39,,20
34636,Bedrock,38,,23
31104,Bedrock,30,,50
160772,Bedrock,15,,25
31207,Bedrock,20,,10
31114,Bedrock,29,,35
34679,Bedrock,32,,30
34676,Bedrock,21,,119
223983,Bedrock,4,,28
160777,Bedrock,22,,15
34635,Bedrock,6,,21
34674,Bedrock,24,,46
34586,Bedrock,5,,15
34613,Bedrock,9,,26
160738,Bedrock,32,,15
224006,Bedrock,1,,8
34671,Bedrock,30,,7
31209,Bedrock,51,,72
34714,Bedrock,34,,20
224022,Bedrock,1,,38
34744,Bedrock,10,,12
31189,Bedrock,35,,8
31180,Bedrock,26,,15
34711,Bedrock,27,,15
31186,Bedrock,25,,30
34712,Bedrock,20,,10
30732,Bedrock,10,,22
34643,Bedrock,27,,8
31145,Bedrock,45,,24
31129,Bedrock,57,,17
30731,Bedrock,35,,12
30717,Bedrock,4,,20
31199,Bedrock,30,,20
34644,Bedrock,56,,8
31196,Bedrock,28,,15
34607,Bedrock,7,,37
34603,Bedrock,38,,6
34651,Bedrock,17,,12
31198,Bedrock,17,,15
30737,Bedrock,149,,82
31162,Bedrock,18,,140
34731,Bedrock,30,,10
34654,Bedrock,25,,17
223972,Bedrock,1,,18
